provincia,total,acumuladas,mes,cod_provincia,fecha,anno
azuay,364,364,1,1,2020-01-01 00:00:00,2020
bolivar,63,63,1,2,2020-01-01 00:00:00,2020
carchi,57,57,1,4,2020-01-01 00:00:00,2020
cañar,108,108,1,3,2020-01-01 00:00:00,2020
chimborazo,219,219,1,6,2020-01-01 00:00:00,2020
cotopaxi,138,138,1,5,2020-01-01 00:00:00,2020
el oro,305,305,1,7,2020-01-01 00:00:00,2020
esmeraldas,134,134,1,8,2020-01-01 00:00:00,2020
galapagos,5,5,1,20,2020-01-01 00:00:00,2020
guayas,1965,1965,1,9,2020-01-01 00:00:00,2020
imbabura,186,186,1,10,2020-01-01 00:00:00,2020
loja,218,218,1,11,2020-01-01 00:00:00,2020
los rios,299,299,1,12,2020-01-01 00:00:00,2020
manabi,626,626,1,13,2020-01-01 00:00:00,2020
morona santiago,49,49,1,14,2020-01-01 00:00:00,2020
napo,35,35,1,15,2020-01-01 00:00:00,2020
orellana,42,42,1,22,2020-01-01 00:00:00,2020
pastaza,34,34,1,16,2020-01-01 00:00:00,2020
pichincha,1211,1211,1,17,2020-01-01 00:00:00,2020
santa elena,116,116,1,24,2020-01-01 00:00:00,2020
santo domingo de los tsachilas,206,206,1,23,2020-01-01 00:00:00,2020
sucumbios,60,60,1,21,2020-01-01 00:00:00,2020
tungurahua,254,254,1,18,2020-01-01 00:00:00,2020
zamora chinchipe,26,26,1,19,2020-01-01 00:00:00,2020
azuay,325,689,2,1,2020-02-01 00:00:00,2020
bolivar,85,148,2,2,2020-02-01 00:00:00,2020
carchi,57,114,2,4,2020-02-01 00:00:00,2020
cañar,77,185,2,3,2020-02-01 00:00:00,2020
chimborazo,189,408,2,6,2020-02-01 00:00:00,2020
cotopaxi,158,296,2,5,2020-02-01 00:00:00,2020
el oro,228,533,2,7,2020-02-01 00:00:00,2020
esmeraldas,156,290,2,8,2020-02-01 00:00:00,2020
galapagos,4,9,2,20,2020-02-01 00:00:00,2020
guayas,1723,3688,2,9,2020-02-01 00:00:00,2020
imbabura,156,342,2,10,2020-02-01 00:00:00,2020
loja,172,390,2,11,2020-02-01 00:00:00,2020
los rios,286,585,2,12,2020-02-01 00:00:00,2020
manabi,543,1169,2,13,2020-02-01 00:00:00,2020
morona santiago,48,97,2,14,2020-02-01 00:00:00,2020
napo,31,66,2,15,2020-02-01 00:00:00,2020
orellana,28,70,2,22,2020-02-01 00:00:00,2020
pastaza,34,68,2,16,2020-02-01 00:00:00,2020
pichincha,1145,2356,2,17,2020-02-01 00:00:00,2020
santa elena,117,233,2,24,2020-02-01 00:00:00,2020
santo domingo de los tsachilas,202,408,2,23,2020-02-01 00:00:00,2020
sucumbios,52,112,2,21,2020-02-01 00:00:00,2020
tungurahua,236,490,2,18,2020-02-01 00:00:00,2020
zamora chinchipe,25,51,2,19,2020-02-01 00:00:00,2020
azuay,358,1047,3,1,2020-03-01 00:00:00,2020
bolivar,67,215,3,2,2020-03-01 00:00:00,2020
carchi,58,172,3,4,2020-03-01 00:00:00,2020
cañar,102,287,3,3,2020-03-01 00:00:00,2020
chimborazo,230,638,3,6,2020-03-01 00:00:00,2020
cotopaxi,165,461,3,5,2020-03-01 00:00:00,2020
el oro,324,857,3,7,2020-03-01 00:00:00,2020
esmeraldas,126,416,3,8,2020-03-01 00:00:00,2020
galapagos,3,12,3,20,2020-03-01 00:00:00,2020
guayas,5440,9128,3,9,2020-03-01 00:00:00,2020
imbabura,146,488,3,10,2020-03-01 00:00:00,2020
loja,189,579,3,11,2020-03-01 00:00:00,2020
los rios,359,944,3,12,2020-03-01 00:00:00,2020
manabi,621,1790,3,13,2020-03-01 00:00:00,2020
morona santiago,47,144,3,14,2020-03-01 00:00:00,2020
napo,15,81,3,15,2020-03-01 00:00:00,2020
orellana,33,103,3,22,2020-03-01 00:00:00,2020
pastaza,24,92,3,16,2020-03-01 00:00:00,2020
pichincha,1127,3483,3,17,2020-03-01 00:00:00,2020
santa elena,178,411,3,24,2020-03-01 00:00:00,2020
santo domingo de los tsachilas,189,597,3,23,2020-03-01 00:00:00,2020
sucumbios,52,164,3,21,2020-03-01 00:00:00,2020
tungurahua,227,717,3,18,2020-03-01 00:00:00,2020
zamora chinchipe,23,74,3,19,2020-03-01 00:00:00,2020
azuay,360,1407,4,1,2020-04-01 00:00:00,2020
bolivar,122,337,4,2,2020-04-01 00:00:00,2020
carchi,56,228,4,4,2020-04-01 00:00:00,2020
cañar,180,467,4,3,2020-04-01 00:00:00,2020
chimborazo,369,1007,4,6,2020-04-01 00:00:00,2020
cotopaxi,183,644,4,5,2020-04-01 00:00:00,2020
el oro,717,1574,4,7,2020-04-01 00:00:00,2020
esmeraldas,224,640,4,8,2020-04-01 00:00:00,2020
galapagos,3,15,4,20,2020-04-01 00:00:00,2020
guayas,12587,21715,4,9,2020-04-01 00:00:00,2020
imbabura,180,668,4,10,2020-04-01 00:00:00,2020
loja,195,774,4,11,2020-04-01 00:00:00,2020
los rios,938,1882,4,12,2020-04-01 00:00:00,2020
manabi,1822,3612,4,13,2020-04-01 00:00:00,2020
morona santiago,32,176,4,14,2020-04-01 00:00:00,2020
napo,38,119,4,15,2020-04-01 00:00:00,2020
orellana,32,135,4,22,2020-04-01 00:00:00,2020
pastaza,26,118,4,16,2020-04-01 00:00:00,2020
pichincha,1303,4786,4,17,2020-04-01 00:00:00,2020
santa elena,1172,1583,4,24,2020-04-01 00:00:00,2020
santo domingo de los tsachilas,254,851,4,23,2020-04-01 00:00:00,2020
sucumbios,57,221,4,21,2020-04-01 00:00:00,2020
tungurahua,286,1003,4,18,2020-04-01 00:00:00,2020
zamora chinchipe,26,100,4,19,2020-04-01 00:00:00,2020
azuay,374,1781,5,1,2020-05-01 00:00:00,2020
bolivar,103,440,5,2,2020-05-01 00:00:00,2020
carchi,69,297,5,4,2020-05-01 00:00:00,2020
cañar,100,567,5,3,2020-05-01 00:00:00,2020
chimborazo,299,1306,5,6,2020-05-01 00:00:00,2020
cotopaxi,200,844,5,5,2020-05-01 00:00:00,2020
el oro,721,2295,5,7,2020-05-01 00:00:00,2020
esmeraldas,329,969,5,8,2020-05-01 00:00:00,2020
galapagos,1,16,5,20,2020-05-01 00:00:00,2020
guayas,2651,24366,5,9,2020-05-01 00:00:00,2020
imbabura,181,849,5,10,2020-05-01 00:00:00,2020
loja,229,1003,5,11,2020-05-01 00:00:00,2020
los rios,618,2500,5,12,2020-05-01 00:00:00,2020
manabi,1347,4959,5,13,2020-05-01 00:00:00,2020
morona santiago,52,228,5,14,2020-05-01 00:00:00,2020
napo,69,188,5,15,2020-05-01 00:00:00,2020
orellana,44,179,5,22,2020-05-01 00:00:00,2020
pastaza,25,143,5,16,2020-05-01 00:00:00,2020
pichincha,1591,6377,5,17,2020-05-01 00:00:00,2020
santa elena,393,1976,5,24,2020-05-01 00:00:00,2020
santo domingo de los tsachilas,295,1146,5,23,2020-05-01 00:00:00,2020
sucumbios,74,295,5,21,2020-05-01 00:00:00,2020
tungurahua,389,1392,5,18,2020-05-01 00:00:00,2020
zamora chinchipe,29,129,5,19,2020-05-01 00:00:00,2020
azuay,381,2162,6,1,2020-06-01 00:00:00,2020
bolivar,102,542,6,2,2020-06-01 00:00:00,2020
carchi,74,371,6,4,2020-06-01 00:00:00,2020
cañar,96,663,6,3,2020-06-01 00:00:00,2020
chimborazo,319,1625,6,6,2020-06-01 00:00:00,2020
cotopaxi,299,1143,6,5,2020-06-01 00:00:00,2020
el oro,473,2768,6,7,2020-06-01 00:00:00,2020
esmeraldas,297,1266,6,8,2020-06-01 00:00:00,2020
galapagos,7,23,6,20,2020-06-01 00:00:00,2020
guayas,1847,26213,6,9,2020-06-01 00:00:00,2020
imbabura,243,1092,6,10,2020-06-01 00:00:00,2020
loja,248,1251,6,11,2020-06-01 00:00:00,2020
los rios,449,2949,6,12,2020-06-01 00:00:00,2020
manabi,824,5783,6,13,2020-06-01 00:00:00,2020
morona santiago,72,300,6,14,2020-06-01 00:00:00,2020
napo,88,276,6,15,2020-06-01 00:00:00,2020
orellana,86,265,6,22,2020-06-01 00:00:00,2020
pastaza,47,190,6,16,2020-06-01 00:00:00,2020
pichincha,1864,8241,6,17,2020-06-01 00:00:00,2020
santa elena,147,2123,6,24,2020-06-01 00:00:00,2020
santo domingo de los tsachilas,398,1544,6,23,2020-06-01 00:00:00,2020
sucumbios,104,399,6,21,2020-06-01 00:00:00,2020
tungurahua,534,1926,6,18,2020-06-01 00:00:00,2020
zamora chinchipe,49,178,6,19,2020-06-01 00:00:00,2020
azuay,489,2651,7,1,2020-07-01 00:00:00,2020
bolivar,118,660,7,2,2020-07-01 00:00:00,2020
carchi,109,480,7,4,2020-07-01 00:00:00,2020
cañar,156,819,7,3,2020-07-01 00:00:00,2020
chimborazo,450,2075,7,6,2020-07-01 00:00:00,2020
cotopaxi,308,1451,7,5,2020-07-01 00:00:00,2020
el oro,437,3205,7,7,2020-07-01 00:00:00,2020
esmeraldas,235,1501,7,8,2020-07-01 00:00:00,2020
galapagos,2,25,7,20,2020-07-01 00:00:00,2020
guayas,2047,28260,7,9,2020-07-01 00:00:00,2020
imbabura,329,1421,7,10,2020-07-01 00:00:00,2020
loja,347,1598,7,11,2020-07-01 00:00:00,2020
los rios,438,3387,7,12,2020-07-01 00:00:00,2020
manabi,868,6651,7,13,2020-07-01 00:00:00,2020
morona santiago,77,377,7,14,2020-07-01 00:00:00,2020
napo,62,338,7,15,2020-07-01 00:00:00,2020
orellana,85,350,7,22,2020-07-01 00:00:00,2020
pastaza,65,255,7,16,2020-07-01 00:00:00,2020
pichincha,2873,11114,7,17,2020-07-01 00:00:00,2020
santa elena,119,2242,7,24,2020-07-01 00:00:00,2020
santo domingo de los tsachilas,435,1979,7,23,2020-07-01 00:00:00,2020
sucumbios,180,579,7,21,2020-07-01 00:00:00,2020
tungurahua,619,2545,7,18,2020-07-01 00:00:00,2020
zamora chinchipe,44,222,7,19,2020-07-01 00:00:00,2020
azuay,638,3289,8,1,2020-08-01 00:00:00,2020
bolivar,114,774,8,2,2020-08-01 00:00:00,2020
carchi,138,618,8,4,2020-08-01 00:00:00,2020
cañar,179,998,8,3,2020-08-01 00:00:00,2020
chimborazo,365,2440,8,6,2020-08-01 00:00:00,2020
cotopaxi,254,1705,8,5,2020-08-01 00:00:00,2020
el oro,399,3604,8,7,2020-08-01 00:00:00,2020
esmeraldas,170,1671,8,8,2020-08-01 00:00:00,2020
galapagos,6,31,8,20,2020-08-01 00:00:00,2020
guayas,2072,30332,8,9,2020-08-01 00:00:00,2020
imbabura,391,1812,8,10,2020-08-01 00:00:00,2020
loja,386,1984,8,11,2020-08-01 00:00:00,2020
los rios,399,3786,8,12,2020-08-01 00:00:00,2020
manabi,842,7493,8,13,2020-08-01 00:00:00,2020
morona santiago,71,448,8,14,2020-08-01 00:00:00,2020
napo,61,399,8,15,2020-08-01 00:00:00,2020
orellana,56,406,8,22,2020-08-01 00:00:00,2020
pastaza,45,300,8,16,2020-08-01 00:00:00,2020
pichincha,2459,13573,8,17,2020-08-01 00:00:00,2020
santa elena,162,2404,8,24,2020-08-01 00:00:00,2020
santo domingo de los tsachilas,321,2300,8,23,2020-08-01 00:00:00,2020
sucumbios,108,687,8,21,2020-08-01 00:00:00,2020
tungurahua,404,2949,8,18,2020-08-01 00:00:00,2020
zamora chinchipe,57,279,8,19,2020-08-01 00:00:00,2020
azuay,539,3828,9,1,2020-09-01 00:00:00,2020
bolivar,80,854,9,2,2020-09-01 00:00:00,2020
carchi,115,733,9,4,2020-09-01 00:00:00,2020
cañar,139,1137,9,3,2020-09-01 00:00:00,2020
chimborazo,268,2708,9,6,2020-09-01 00:00:00,2020
cotopaxi,219,1924,9,5,2020-09-01 00:00:00,2020
el oro,428,4032,9,7,2020-09-01 00:00:00,2020
esmeraldas,148,1819,9,8,2020-09-01 00:00:00,2020
galapagos,5,36,9,20,2020-09-01 00:00:00,2020
guayas,1868,32200,9,9,2020-09-01 00:00:00,2020
imbabura,267,2079,9,10,2020-09-01 00:00:00,2020
loja,289,2273,9,11,2020-09-01 00:00:00,2020
los rios,317,4103,9,12,2020-09-01 00:00:00,2020
manabi,705,8198,9,13,2020-09-01 00:00:00,2020
morona santiago,54,502,9,14,2020-09-01 00:00:00,2020
napo,36,435,9,15,2020-09-01 00:00:00,2020
orellana,40,446,9,22,2020-09-01 00:00:00,2020
pastaza,30,330,9,16,2020-09-01 00:00:00,2020
pichincha,1764,15337,9,17,2020-09-01 00:00:00,2020
santa elena,104,2508,9,24,2020-09-01 00:00:00,2020
santo domingo de los tsachilas,238,2538,9,23,2020-09-01 00:00:00,2020
sucumbios,60,747,9,21,2020-09-01 00:00:00,2020
tungurahua,302,3251,9,18,2020-09-01 00:00:00,2020
zamora chinchipe,27,306,9,19,2020-09-01 00:00:00,2020
azuay,482,4310,10,1,2020-10-01 00:00:00,2020
bolivar,73,927,10,2,2020-10-01 00:00:00,2020
carchi,76,809,10,4,2020-10-01 00:00:00,2020
cañar,150,1287,10,3,2020-10-01 00:00:00,2020
chimborazo,235,2943,10,6,2020-10-01 00:00:00,2020
cotopaxi,194,2118,10,5,2020-10-01 00:00:00,2020
el oro,333,4365,10,7,2020-10-01 00:00:00,2020
esmeraldas,140,1959,10,8,2020-10-01 00:00:00,2020
galapagos,4,40,10,20,2020-10-01 00:00:00,2020
guayas,2092,34292,10,9,2020-10-01 00:00:00,2020
imbabura,204,2283,10,10,2020-10-01 00:00:00,2020
loja,213,2486,10,11,2020-10-01 00:00:00,2020
los rios,351,4454,10,12,2020-10-01 00:00:00,2020
manabi,749,8947,10,13,2020-10-01 00:00:00,2020
morona santiago,52,554,10,14,2020-10-01 00:00:00,2020
napo,38,473,10,15,2020-10-01 00:00:00,2020
orellana,43,489,10,22,2020-10-01 00:00:00,2020
pastaza,29,359,10,16,2020-10-01 00:00:00,2020
pichincha,1410,16747,10,17,2020-10-01 00:00:00,2020
santa elena,138,2646,10,24,2020-10-01 00:00:00,2020
santo domingo de los tsachilas,216,2754,10,23,2020-10-01 00:00:00,2020
sucumbios,68,815,10,21,2020-10-01 00:00:00,2020
tungurahua,300,3551,10,18,2020-10-01 00:00:00,2020
zamora chinchipe,19,325,10,19,2020-10-01 00:00:00,2020
azuay,428,4738,11,1,2020-11-01 00:00:00,2020
bolivar,78,1005,11,2,2020-11-01 00:00:00,2020
carchi,63,872,11,4,2020-11-01 00:00:00,2020
cañar,111,1398,11,3,2020-11-01 00:00:00,2020
chimborazo,234,3177,11,6,2020-11-01 00:00:00,2020
cotopaxi,211,2329,11,5,2020-11-01 00:00:00,2020
el oro,318,4683,11,7,2020-11-01 00:00:00,2020
esmeraldas,132,2091,11,8,2020-11-01 00:00:00,2020
galapagos,6,46,11,20,2020-11-01 00:00:00,2020
guayas,2111,36403,11,9,2020-11-01 00:00:00,2020
imbabura,188,2471,11,10,2020-11-01 00:00:00,2020
loja,204,2690,11,11,2020-11-01 00:00:00,2020
los rios,343,4797,11,12,2020-11-01 00:00:00,2020
manabi,765,9712,11,13,2020-11-01 00:00:00,2020
morona santiago,44,598,11,14,2020-11-01 00:00:00,2020
napo,36,509,11,15,2020-11-01 00:00:00,2020
orellana,50,539,11,22,2020-11-01 00:00:00,2020
pastaza,22,381,11,16,2020-11-01 00:00:00,2020
pichincha,1343,18090,11,17,2020-11-01 00:00:00,2020
santa elena,186,2832,11,24,2020-11-01 00:00:00,2020
santo domingo de los tsachilas,186,2940,11,23,2020-11-01 00:00:00,2020
sucumbios,61,876,11,21,2020-11-01 00:00:00,2020
tungurahua,259,3810,11,18,2020-11-01 00:00:00,2020
zamora chinchipe,31,356,11,19,2020-11-01 00:00:00,2020
azuay,416,5154,12,1,2020-12-01 00:00:00,2020
bolivar,103,1108,12,2,2020-12-01 00:00:00,2020
carchi,100,972,12,4,2020-12-01 00:00:00,2020
cañar,120,1518,12,3,2020-12-01 00:00:00,2020
chimborazo,232,3409,12,6,2020-12-01 00:00:00,2020
cotopaxi,223,2552,12,5,2020-12-01 00:00:00,2020
el oro,317,5000,12,7,2020-12-01 00:00:00,2020
esmeraldas,144,2235,12,8,2020-12-01 00:00:00,2020
galapagos,5,51,12,20,2020-12-01 00:00:00,2020
guayas,2104,38507,12,9,2020-12-01 00:00:00,2020
imbabura,226,2697,12,10,2020-12-01 00:00:00,2020
loja,227,2917,12,11,2020-12-01 00:00:00,2020
los rios,331,5128,12,12,2020-12-01 00:00:00,2020
manabi,725,10437,12,13,2020-12-01 00:00:00,2020
morona santiago,54,652,12,14,2020-12-01 00:00:00,2020
napo,44,553,12,15,2020-12-01 00:00:00,2020
orellana,35,574,12,22,2020-12-01 00:00:00,2020
pastaza,32,413,12,16,2020-12-01 00:00:00,2020
pichincha,1532,19622,12,17,2020-12-01 00:00:00,2020
santa elena,166,2998,12,24,2020-12-01 00:00:00,2020
santo domingo de los tsachilas,235,3175,12,23,2020-12-01 00:00:00,2020
sucumbios,55,931,12,21,2020-12-01 00:00:00,2020
tungurahua,322,4132,12,18,2020-12-01 00:00:00,2020
zamora chinchipe,16,372,12,19,2020-12-01 00:00:00,2020
azuay,502,502,1,1,2021-01-01 00:00:00,2021
